label,name,broad_label,sub_label
70,Chevrolet Silverado 1500 Classic Extended Cab 2007,7,10
71,Chevrolet Express Van 2007,7,11
72,Chevrolet Monte Carlo Coupe 2007,7,12
73,Chevrolet Malibu Sedan 2007,7,13
74,Chevrolet Silverado 1500 Extended Cab 2012,7,14
75,Chevrolet Silverado 1500 Regular Cab 2012,7,15
76,Chrysler Aspen SUV 2009,8,1
77,Chrysler Sebring Convertible 2010,8,2
78,Chrysler Town and Country Minivan 2012,8,3
79,Chrysler 300 SRT-8 2010,8,4
80,Chrysler Crossfire Convertible 2008,8,5
81,Chrysler PT Cruiser Convertible 2008,8,6
82,Daewoo Nubira Wagon 2002,5,10
83,Dodge Caliber Wagon 2012,9,1
84,Dodge Caliber Wagon 2007,9,2
85,Dodge Caravan Minivan 1997,9,3
86,Dodge Ram Pickup 3500 Crew Cab 2010,9,4
87,Dodge Ram Pickup 3500 Quad Cab 2009,9,5
88,Dodge Sprinter Cargo Van 2009,9,6
89,Dodge Journey SUV 2012,9,7
90,Dodge Dakota Crew Cab 2010,9,8
91,Dodge Dakota Club Cab 2007,9,9
92,Dodge Magnum Wagon 2008,9,10
93,Dodge Challenger SRT8 2011,9,11
94,Dodge Durango SUV 2012,9,12
95,Dodge Durango SUV 2007,9,13
96,Dodge Charger Sedan 2012,9,14
97,Dodge Charger SRT-8 2009,9,15
98,Eagle Talon Hatchback 1998,1,1
99,FIAT 500 Abarth 2012,8,7
100,FIAT 500 Convertible 2012,8,8
101,Ferrari FF Coupe 2012,8,9
102,Ferrari California Convertible 2012,8,10
103,Ferrari 458 Italia Convertible 2012,8,11
104,Ferrari 458 Italia Coupe 2012,8,12
105,Fisker Karma Sedan 2012,5,11
106,Ford F-450 Super Duty Crew Cab 2012,10,1
107,Ford Mustang Convertible 2007,10,2
108,Ford Freestar Minivan 2007,10,3
109,Ford Expedition EL SUV 2009,10,4
110,Ford Edge SUV 2012,10,5
111,Ford Ranger SuperCab 2011,10,6
112,Ford GT Coupe 2006,10,7
113,Ford F-150 Regular Cab 2012,10,8
114,Ford F-150 Regular Cab 2007,10,9
115,Ford Focus Sedan 2007,10,10
116,Ford E-Series Wagon Van 2012,10,11
117,Ford Fiesta Sedan 2012,10,12
118,GMC Terrain SUV 2012,11,1
119,GMC Savana Van 2012,11,2
120,GMC Yukon Hybrid SUV 2012,11,3
121,GMC Acadia SUV 2012,11,4
122,GMC Canyon Extended Cab 2012,11,5
123,Geo Metro Convertible 1993,5,12
124,HUMMER H3T Crew Cab 2010,11,6
125,HUMMER H2 SUT Crew Cab 2009,11,7
126,Honda Odyssey Minivan 2012,11,8
127,Honda Odyssey Minivan 2007,11,9
128,Honda Accord Coupe 2012,11,10
129,Honda Accord Sedan 2012,11,11
130,Hyundai Veloster Hatchback 2012,12,1
131,Hyundai Santa Fe SUV 2012,12,2
132,Hyundai Tucson SUV 2012,12,3
133,Hyundai Veracruz SUV 2012,12,4
134,Hyundai Sonata Hybrid Sedan 2012,12,5
135,Hyundai Elantra Sedan 2007,12,6
136,Hyundai Accent Sedan 2012,12,7
137,Hyundai Genesis Sedan 2012,12,8
138,Hyundai Sonata Sedan 2012,12,9
139,Hyundai Elantra Touring Hatchback 2012,12,10
140,Hyundai Azera Sedan 2012,12,11
141,Infiniti G Coupe IPL 2012,5,13
142,Infiniti QX56 SUV 2011,5,14
143,Isuzu Ascender SUV 2008,1,2
144,Jaguar XK XKR 2012,1,3
145,Jeep Patriot SUV 2012,13,1
146,Jeep Wrangler SUV 2012,13,2
147,Jeep Liberty SUV 2012,13,3
148,Jeep Grand Cherokee SUV 2012,13,4
149,Jeep Compass SUV 2012,13,5
150,Lamborghini Reventon Coupe 2008,13,6
151,Lamborghini Aventador Coupe 2012,13,7
152,Lamborghini Gallardo LP 570-4 Superleggera 2012,13,8
153,Lamborghini Diablo Coupe 2001,13,9
154,Land Rover Range Rover SUV 201,13,10
155,Land Rover LR2 SUV 2012,13,11
156,Lincoln Town Car Sedan 2011,1,4
157,MINI Cooper Roadster Convertible 2012,1,5
158,Maybach Landaulet Convertible 2012,1,6
159,Mazda Tribute SUV 2011,1,7
160,McLaren MP4-12C Coupe 2012,1,8
161,Mercedes-Benz 300-Class Convertible 1993,14,1
162,Mercedes-Benz C-Class Sedan 2012,14,2
163,Mercedes-Benz SL-Class Coupe 2009,14,3
164,Mercedes-Benz E-Class Sedan 2012,14,4
165,Mercedes-Benz S-Class Sedan 2012,14,5
166,Mercedes-Benz Sprinter Van 2012,14,6
167,Mitsubishi Lancer Sedan 2012,14,7
168,Nissan Leaf Hatchback 2012,14,8
169,Nissan NV Passenger Van 2012,14,9
170,Nissan Juke Hatchback 2012,14,10
171,Nissan 240SX Coupe 1998,14,11
172,Plymouth Neon Coupe 1999,1,9
173,Porsche Panamera Sedan 2012,1,10
174,Ram C/V Cargo Van Minivan 2012,1,11
175,Rolls-Royce Phantom Drophead Coupe Convertible 2012',15,1
176,Rolls-Royce Ghost Sedan 2012,15,2
177,Rolls-Royce Phantom Sedan 2012,15,3
178,Scion xD Hatchback 2012,1,12
179,Spyker C8 Convertible 2009,15,4
180,Spyker C8 Coupe 2009,15,5
181,Suzuki Aerio Sedan 2007,15,6
182,Suzuki Kizashi Sedan 2012,15,7
183,Suzuki SX4 Hatchback 2012,15,8
184,Suzuki SX4 Sedan 2012,15,9
185,Tesla Model S Sedan 2012,1,13
186,Toyota Sequoia SUV 2012,16,1
187,Toyota Camry Sedan 2012,16,2
188,Toyota Corolla Sedan 2012,16,3
189,Toyota 4Runner SUV 2012,16,4
190,Volkswagen Golf Hatchback 2012,16,5
191,Volkswagen Golf Hatchback 1991,16,6
192,Volkswagen Beetle Hatchback 2012,16,7
193,Volvo C30 Hatchback 2012,16,8
194,Volvo 240 Sedan 1993,16,9
195,Volvo XC90 SUV 2007,16,10
196,smart fortwo Convertible 2012,1,14
